subjectId,static,dynamic
100222,0.25,0.02013124999999996,0.015631249999999958
100219,0.625,0.8606312500000002,0.8351312500000001
100452,0.5,0.56238125,0.56238125
100218,0.125,0.002381250000000057,0.002381250000000057
100225,0.5,0.33400625,0.36175624999999995
200378,0.375,0.28663125000000006,0.28663125000000006
100223,0.5,0.6801312499999999,0.6801312499999999
100224,0.375,0.30606875,0.30944375
100220,0.375,0.4266312500000001,0.4266312500000001
110417,0.625,0.7577562499999999,0.8155062499999999
