subjectId,static,dynamic
100034,0.625,0.6434375000000001,0.5756875000000001
100046,0.5,0.27956250000000005,0.27956250000000005
100041,0.5,0.5050625000000002,0.48056250000000006
100042,0.25,0.17843750000000008,0.18068750000000006
110396,0.875,0.9644375000000001,0.9521875000000001
200436,0.25,0.07287500000000008,0.09500000000000008
100044,0.375,0.24831250000000005,0.24831250000000005
100035,0.75,1.0821875,1.0344375000000001
100382,0.25,0.07843750000000005,0.07618750000000002
100045,0.75,1.0650000000000002,1.0583750000000003
